tokens,labels
"['Transdev O', 'said O', 'in O', 'a O', 'statement O', 'that O', 'management O', 'and O', 'staff O', 'were O', 'terribly O', 'shocked O', 'by O', 'the O', '""exceptionally O', 'serious O', 'accident"" B-AVIATION_HAZARD', 'and O', 'that O', 'Chief O', 'Executive O', 'Jean-Marc O', 'Janaillac O', 'was O', 'at O', 'the O', 'scene. O', 'German O', 'transport O', 'minister O', 'Alexander O', 'Dobrindt, O', 'also O', 'at O', 'the O', 'site O', 'of O', 'the O', 'crash, B-TRAIN_COLLISION', 'said O', 'it O', 'was O', 'unclear O', 'whether O', 'it O', 'had O', 'been O', 'due O', 'to O', 'a O', 'technical O', 'failure O', 'or O', 'error. O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AVIATION_HAZARD', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-TRAIN_COLLISION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Telangana O', 'chief O', 'minister O', 'K O', 'Chandrasekhar O', 'Rao O', 'expressed O', 'shock O', 'over O', 'the O', 'incident B-VEHICULAR_COLLISION', 'and O', 'conveyed O', 'his O', 'heartfelt O', 'sympathies O', 'to O', 'the O', 'family O', 'members. O', 'Tourism O', 'minister O', 'V O', 'Srinivas O', 'Goud O', 'and O', 'Jadcherla O', 'MLA O', 'Lakshma O', 'Reddy O', 'rushed O', 'to O', 'the O', 'accident B-VEHICULAR_COLLISION', 'spot O', 'to O', 'get O', 'the O', 'first O', 'hand O', 'information. O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-VEHICULAR_COLLISION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-VEHICULAR_COLLISION', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Channe O', 'further O', 'said O', 'that O', 'prime O', 'facie O', 'a O', 'short-circuit O', 'appeared O', 'to O', 'be O', 'the O', 'cause O', 'of O', 'the O', 'blaze. B-FIRE', 'He O', 'said O', 'an O', 'MSEDCL O', 'team O', 'has O', 'carried O', 'out O', 'an O', 'inspection O', 'and O', 'will O', 'submit O', 'a O', 'report O', 'on O', 'the O', 'cause O', 'of O', 'fire. B-FIRE']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FIRE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FIRE']"
"['“The O', 'fire B-FIRE', 'broke I-FIRE', 'out I-FIRE', 'due O', 'to O', 'a O', 'gas O', 'leakage. O', 'Though O', 'two O', 'fire O', 'engines O', 'were O', 'sent O', 'to O', 'the O', 'spot, O', 'the O', 'fire B-FIRE', 'was O', 'extinguished O', 'before O', 'they O', 'arrived,” O', 'said O', 'a O', 'BMC O', 'official. O', 'In O', 'the O', 'major O', 'fire B-FIRE', 'on O', 'Sunday, O', 'the O', 'RTO O', 'lost O', 'out O', 'on O', 'files, O', 'learning O', 'licenses O', 'and O', 'computer O', 'machines. O', 'They O', 'now O', 'operate O', 'out O', 'of O', 'a O', 'makeshift O', 'office. O']","['O', 'B-FIRE', 'I-FIRE', 'I-FIRE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FIRE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FIRE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['“The O', 'family O', 'members O', 't', 'O', 'an O', 'auto-rickshaw O', 'and O', 'reached O', 'Nand O', 'Nagri O', 'DTC O', 'bus O', 'depot, O', 'from O', 'where O', 'they O', 'had O', 'to O', 'take O', 'a O', 'bus O', 'to O', 'Loni. O', 'They O', 'were O', 'crossing O', 'the O', 'road O', 'when O', 'the O', 'speeding O', 'mini-truck O', 'hit B-ACCIDENTS', 'Rajpal O', 'and O', 'Shiva, O', 'who O', 'were O', 'walking O', 'ahead O', 'of O', 'Rajmala O', 'and O', 'Manvi,” O', 'a O', 'police O', 'officer O', 'said. O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ACCIDENTS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['A O', 'gunfight B-SHOOT_OUT', 'started O', 'between O', 'militants O', 'and O', 'security O', 'forces O', 'in O', 'Jammu O', 'and O', 'Kashmir’s O', 'Baramulla O', 'district O', 'on O', 'Friday. O']","['O', 'B-SHOOT_OUT', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Six O', 'youths O', 'were O', 'run B-TRANSPORT_HAZARDS', 'over I-TRANSPORT_HAZARDS', 'by O', 'a O', 'train O', 'engine O', 'early O', 'on O', 'Monday O', 'in O', 'Hapur O', 'district O', 'of O', 'Uttar O', 'Pradesh, O', 'police O', 'said. O']","['O', 'O', 'O', 'B-TRANSPORT_HAZARDS', 'I-TRANSPORT_HAZARDS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Three O', 'women O', 'and O', 'a O', 'man O', 'were O', 'found O', 'dead O', 'at O', 'an O', 'apartment O', 'complex O', 'in O', 'Ohio O', 'where O', 'multiple O', 'gunshots O', 'were O', 'fired, B-SHOOT_OUT', 'police O', 'said O', 'Monday. O', 'No O', 'suspect O', 'has O', 'been O', 'identified. O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-SHOOT_OUT', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Three O', 'of O', 'a O', 'family O', 'die O', 'in O', 'fire B-FIRE', 'accident I-FIRE']","['O', 'O', 'O', 'O', 'O', 'O', 'B-FIRE', 'I-FIRE']"
"['Two O', 'Russian O', 'police O', 'officers O', 'were O', 'injured O', 'in O', 'the O', 'attack. B-SHOOT_OUT']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-SHOOT_OUT']"
